/*
 Contributor: Pericles Vassiliou
 Assets URI: https://www.dropbox.com/s/qteetia6voh3i3s/UEFA-EURO-2016.zip?dl=0
*/
play_date;home_team;away_team;stadium;match_type;home_team_photo;home_team_flag;home_team_link;home_team_group;home_team_group_order;home_team_is_real;away_team_photo;away_team_flag;away_team_link;away_team_group;away_team_group_order;away_team_is_real;stadium_photo
"2016-06-10 19:00:00";France;Romania;"SAINT-DENIS Stade de France";"Group Stage";fra.jpg;fra.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=43/index.html;"Group A";1;1;rom.jpg;rom.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=113/index.html;"Group A";2;1;france.jpg
"2016-06-11 13:00:00";Albania;Switzerland;"LENS Stade Bollaert-Delelis";"Group Stage";alb.jpg;alb.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=2/index.html;"Group A";3;1;swi.jpg;swi.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=128/index.html;"Group A";4;1;lens.jpg
"2016-06-11 16:00:00";Wales;Slovakia;"BORDEAUX Stade de Bordeaux";"Group Stage";wal.jpg;wal.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=144/index.html;"Group B";3;1;slo.jpg;slo.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58836/index.html;"Group B";4;1;bordeaux.jpg
"2016-06-11 19:00:00";England;Russia;"MARSEILLE Stade Velodrome";"Group Stage";eng.jpg;eng.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=39/index.html;"Group B";1;1;rus.jpg;rus.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57451/index.html;"Group B";2;1;marseille.jpg
"2016-06-12 13:00:00";Turkey;Croatia;"PARIS Parc des Princes";"Group Stage";tur.jpg;tur.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=128/index.html;"Group D";3;1;cro.jpg;cro.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=56370/index.html;"Group D";4;1;princes.jpg
"2016-06-12 16:00:00";Poland;"North Ireland";"NICE Stade de Nice";"Group Stage";pol.jpg;pol.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=109/index.html;"Group C";3;1;nir.jpg;nir.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=63/index.html;"Group C";4;1;nice.jpg
"2016-06-12 19:00:00";Germany;Ukraine;"LILLE Stade Pierre Mauroy";"Group Stage";ger.jpg;ger.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=47/index.html;"Group C";1;1;ukr.jpg;ukr.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57166/index.html;"Group C";2;1;lille.jpg
"2016-06-13 13:00:00";Spain;"Czech Republic";"TOULOUSE Stadium de Toulouse";"Group Stage";spa.jpg;spa.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=122/index.html;"Group D";1;1;cze.jpg;cze.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58837/index.html;"Group D";2;1;toulouse.jpg
"2016-06-13 16:00:00";Ireland;Sweden;"SAINT-DENIS Stade de France";"Group Stage";ire.jpg;ire.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=64/index.html;"Group E";3;1;swe.jpg;swe.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=127/index.html;"Group E";4;1;france.jpg
"2016-06-13 19:00:00";Belgium;Italy;"LYON Stade de Lyon";"Group Stage";bel.jpg;bel.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=13/index.html;"Group E";1;1;ita.jpg;ita.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=66/index.html;"Group E";2;1;lyon.jpg
"2016-06-14 16:00:00";Austria;Hungary;"BORDEAUX Stade de Bordeaux";"Group Stage";aus.jpg;aus.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=8/index.html;"Group F";2;1;hun.jpg;hun.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57/index.html;"Group F";4;1;bordeaux.jpg
"2016-06-14 19:00:00";Portugal;Iceland;"SAINT-ETIENNE Stade Geoffroy Guichard";"Group Stage";por.jpg;por.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=110/index.html;"Group F";1;1;ice.jpg;ice.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58/index.html;"Group F";2;1;saint.jpg
"2016-06-15 13:00:00";Russia;Slovakia;"LILLE Stade Pierre Mauroy";"Group Stage";rus.jpg;rus.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57451/index.html;"Group B";2;1;slo.jpg;slo.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58836/index.html;"Group B";4;1;lille.jpg
"2016-06-15 16:00:00";Romania;Switzerland;"PARIS Parc des Princes";"Group Stage";rom.jpg;rom.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=113/index.html;"Group A";2;1;swi.jpg;swi.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=128/index.html;"Group A";4;1;princes.jpg
"2016-06-15 19:00:00";France;Albania;"MARSEILLE Stade Velodrome";"Group Stage";fra.jpg;fra.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=43/index.html;"Group A";1;1;alb.jpg;alb.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=2/index.html;"Group A";3;1;marseille.jpg
"2016-06-16 13:00:00";England;Wales;"LENS Stade Bollaert-Delelis";"Group Stage";eng.jpg;eng.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=39/index.html;"Group B";1;1;wal.jpg;wal.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=144/index.html;"Group B";3;1;lens.jpg
"2016-06-16 16:00:00";Ukraine;"North Ireland";"LYON Stade de Lyon";"Group Stage";ukr.jpg;ukr.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57166/index.html;"Group C";2;1;nir.jpg;nir.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=63/index.html;"Group C";4;1;lyon.jpg
"2016-06-16 19:00:00";Germany;Poland;"SAINT-DENIS Stade de France";"Group Stage";ger.jpg;ger.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=47/index.html;"Group C";1;1;pol.jpg;pol.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=109/index.html;"Group C";3;1;france.jpg
"2016-06-17 13:00:00";Italy;Sweden;"TOULOUSE Stadium de Toulouse";"Group Stage";ita.jpg;ita.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=66/index.html;"Group E";2;1;swe.jpg;swe.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=127/index.html;"Group E";4;1;toulouse.jpg
"2016-06-17 16:00:00";"Czech Republic";Croatia;"SAINT-ETIENNE Stade Geoffroy Guichard";"Group Stage";cze.jpg;cze.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58837/index.html;"Group D";2;1;cro.jpg;cro.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=56370/index.html;"Group D";4;1;saint.jpg
"2016-06-17 19:00:00";Spain;Turkey;"NICE Stade de Nice";"Group Stage";spa.jpg;spa.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=122/index.html;"Group D";1;1;tur.jpg;tur.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=128/index.html;"Group D";3;1;nice.jpg
"2016-06-18 13:00:00";Belgium;Ireland;"BORDEAUX Stade de Bordeaux";"Group Stage";bel.jpg;bel.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=13/index.html;"Group E";1;1;ire.jpg;ire.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=64/index.html;"Group E";3;1;bordeaux.jpg
"2016-06-18 16:00:00";Iceland;Hungary;"MARSEILLE Stade Velodrome";"Group Stage";ice.jpg;ice.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58/index.html;"Group F";2;1;hun.jpg;hun.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57/index.html;"Group F";4;1;marseille.jpg
"2016-06-18 19:00:00";Portugal;Austria;"PARIS Parc des Princes";"Group Stage";por.jpg;por.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=110/index.html;"Group F";1;1;aus.jpg;aus.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=8/index.html;"Group F";2;1;princes.jpg
"2016-06-19 19:00:00";Romania;Albania;"LYON Stade de Lyon";"Group Stage";rom.jpg;rom.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=113/index.html;"Group A";2;1;alb.jpg;alb.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=2/index.html;"Group A";3;1;lyon.jpg
"2016-06-19 19:00:00";Switzerland;France;"LILLE Stade Pierre Mauroy";"Group Stage";swi.jpg;swi.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=128/index.html;"Group A";4;1;fra.jpg;fra.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=43/index.html;"Group A";1;1;lille.jpg
"2016-06-20 19:00:00";Russia;Wales;"TOULOUSE Stadium de Toulouse";"Group Stage";rus.jpg;rus.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57451/index.html;"Group B";2;1;wal.jpg;wal.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=144/index.html;"Group B";3;1;toulouse.jpg
"2016-06-20 19:00:00";Slovakia;England;"SAINT-ETIENNE Stade Geoffroy Guichard";"Group Stage";slo.jpg;slo.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58836/index.html;"Group B";4;1;eng.jpg;eng.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=39/index.html;"Group B";1;1;saint.jpg
"2016-06-21 16:00:00";Ukraine;Poland;"MARSEILLE Stade Velodrome";"Group Stage";ukr.jpg;ukr.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57166/index.html;"Group C";2;1;pol.jpg;pol.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=109/index.html;"Group C";3;1;marseille.jpg
"2016-06-21 16:00:00";"North Ireland";Germany;"PARIS Parc des Princes";"Group Stage";nir.jpg;nir.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=63/index.html;"Group C";4;1;ger.jpg;ger.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=47/index.html;"Group C";1;1;princes.jpg
"2016-06-21 19:00:00";"Czech Republic";Turkey;"LENS Stade Bollaert-Delelis";"Group Stage";cze.jpg;cze.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58837/index.html;"Group D";2;1;tur.jpg;tur.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=128/index.html;"Group D";3;1;lens.jpg
"2016-06-21 19:00:00";Croatia;Spain;"BORDEAUX Stade de Bordeaux";"Group Stage";cro.jpg;cro.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=56370/index.html;"Group D";4;1;spa.jpg;spa.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=122/index.html;"Group D";1;1;bordeaux.jpg
"2016-06-22 16:00:00";Iceland;Austria;"SAINT-DENIS Stade de France";"Group Stage";ice.jpg;ice.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=58/index.html;"Group F";2;1;aus.jpg;aus.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=8/index.html;"Group F";2;1;france.jpg
"2016-06-22 16:00:00";Hungary;Portugal;"LYON Stade de Lyon";"Group Stage";hun.jpg;hun.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=57/index.html;"Group F";4;1;por.jpg;por.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=110/index.html;"Group F";1;1;lyon.jpg
"2016-06-22 19:00:00";Italy;Ireland;"LILLE Stade Pierre Mauroy";"Group Stage";ita.jpg;ita.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=66/index.html;"Group E";2;1;ire.jpg;ire.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=64/index.html;"Group E";3;1;lille.jpg
"2016-06-22 19:00:00";Sweden;Belgium;"NICE Stade de Nice";"Group Stage";swe.jpg;swe.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=127/index.html;"Group E";4;1;bel.jpg;bel.png;http://www.uefa.com/uefaeuro/season=2016/teams/team=13/index.html;"Group E";1;1;nice.jpg
"2016-06-25 13:00:00";"Runner-up Group A";"Runner-up Group C";"SAINT-ETIENNE Stade Geoffroy Guichard";"Last 16";;;;;0;0;;;;;0;0;saint.jpg
"2016-06-25 16:00:00";"Winner Group B";"3rd place A, C of D";"PARIS Parc des Princes";"Last 16";;;;;0;0;;;;;0;0;princes.jpg
"2016-06-25 19:00:00";"Winner Group D";"3rd place B, E of F";"LENS Stade Bollaert-Delelis";"Last 16";;;;;0;0;;;;;0;0;lens.jpg
"2016-06-26 13:00:00";"Winner Group A";"3rd place C, D of E";"LYON Stade de Lyon";"Last 16";;;;;0;0;;;;;0;0;lyon.jpg
"2016-06-26 16:00:00";"Winner Group C";"3rd place A, B of F";"LILLE Stade Pierre Mauroy";"Last 16";;;;;0;0;;;;;0;0;lille.jpg
"2016-06-26 19:00:00";"Winner Group F";"Runner-up Group E";"TOULOUSE Stadium de Toulouse";"Last 16";;;;;0;0;;;;;0;0;toulouse.jpg
"2016-06-27 16:00:00";"Winner Group E";"Runner-up Group D";"SAINT-DENIS Stade de France";"Last 16";;;;;0;0;;;;;0;0;france.jpg
"2016-06-27 19:00:00";"Runner-up Group B";"Runner-up Group F";"NICE Stade de Nice";"Last 16";;;;;0;0;;;;;0;0;nice.jpg
"2016-06-30 19:00:00";"Winner match 37";"Winner match 39";"MARSEILLE Stade Velodrome";"Quarter Final";;;;;0;0;;;;;0;0;marseille.jpg
"2016-07-01 19:00:00";"Winner match 38";"Winner match 42";"LILLE Stade Pierre Mauroy";"Quarter Final";;;;;0;0;;;;;0;0;lille.jpg
"2016-07-02 19:00:00";"Winner match 41";"Winner match 43";"BORDEAUX Stade de Bordeaux";"Quarter Final";;;;;0;0;;;;;0;0;bordeaux.jpg
"2016-07-03 19:00:00";"Winner match 40";"Winner match 44";"SAINT-DENIS Stade de France";"Quarter Final";;;;;0;0;;;;;0;0;france.jpg
"2016-07-06 19:00:00";"Winner match 45";"Winner match 46";"LYON Stade de Lyon";"Semi Final";;;;;0;0;;;;;0;0;lyon.jpg
"2016-07-07 19:00:00";"Winner match 47";"Winner match 48";"MARSEILLE Stade Velodrome";"Semi Final";;;;;0;0;;;;;0;0;marseille.jpg
"2016-07-10 19:00:00";"Winner match 49";"Winner match 50";"SAINT-DENIS Stade de France";Final;;;;;0;0;;;;;0;0;france.jpg
